number,fermat method,classical method
129815177162,49816.65,113456.114
134171315792,45902.972,118098.374
140824010540,46146.915,121603.062
136279190799,45989.394,119188.873
144691292806,46820.299,123658.087
145707734948,46970.907,123621.822
140708837114,44982.791,121263.752
143515398509,46307.05,122310.344
147260346159,46881.262,124969.087
137758800278,47976.094,119138.242
140315243925,47347.368,120891.036
144415601293,47091.411,123180.573
143655384503,45945.493,121666.018
141823844844,48953.291,119937.663
147794863136,49952.311,124802.973
140441977966,50256.792,119196.988
150595570617,45535.398,126941.727
150167282670,47203.503,126080.423
152788531147,47418.166,127478.121
150415992204,47135.244,127164.525
145245452285,45940.14,123592.047
139166963960,46516.643,119636.454
148176451193,51541.863,123971.499
146462956902,48911.847,122957.855
146363308902,49530.583,122786.14
155272466185,49417.87,128871.01
149566940177,49031.841,124812.616
153959816878,44658.476,129877.521
144134612936,48102.075,121858.297
154761307698,48062.244,127488.707
153844114802,47828.018,128149.907
159333593745,44852.241,131722.552
151168774522,49165.973,124648.458
160486095802,49146.969,131145.936
147456081003,50424.493,122699.179
146071470374,49321.71,122457.114
155601887923,52263.989,126753.111
156123948385,46957.649,128665.416
148427981927,47370.564,122725.538
150790683887,48930.529,124648.892
152834349521,48372.111,126208.077
161178880876,48117.19,132371.892
161313772277,50114.036,130149.863
151048110596,51498.656,125205.469
151420129528,50162.065,123951.008
147983290564,50945.302,123100.048
149560692180,56739.875,121845.203
156478124812,48382.587,127923.533
161336460165,47549.802,131057.239
155431972454,48682.494,127141.864
152731773255,48239.721,126569.463
146186176074,53547.379,119447.316
157242378099,50596.619,126674.107
163162805896,48735.016,130335.528
159171569008,50385.819,128704.886
157537394918,49637.049,128852.73
154186966192,47148.387,126656.845
159390925648,49920.811,127937.588
168187851920,50027.026,133961.449
162940335344,47246.653,131280.699
169230943067,51613.597,133190.534
157539340471,52566.276,127094.188
157694552685,50425.635,128379.595
165021969489,51088.236,131333.631
160364768049,53812.855,128645.646
160871256960,52580.12,129006.439
165089593670,48660.26,132365.033
169033792051,50259.962,133607.979
169920679696,50526.979,135178.973
177314050744,47981.262,138912.775
164826184322,48189.068,131423.191
153421388723,53444.751,124024.493
153679357942,53445.566,123656.03
169938537872,49546.091,134401.012
169593621641,50945.173,135149.927
164579709882,51031.54,131298.759
172157564880,50491.817,134414.153
164380150384,49514.269,130629.452
175659947034,48392.536,137641.058
165257453795,51656.459,130532.196
161379872087,50994.006,128832.541
173740858337,49989.005,135423.021
174200442420,46825.006,136218.003
171261895563,51560.744,131919.924
158133273548,52362.04,126417.555
177447508546,56167.779,135796.183
164383233867,54234.402,128975.089
168995618846,50930.479,132127.77
179884125109,47034.492,139786.926
164919492416,55164.059,128367.786
159421047634,51164.626,128085.251
177876135729,51536.844,138008.243
171481279725,52107.329,131931.942
178094075547,49648.203,136796.419
168746875992,52163.912,131323.909
169322845559,55182.523,130841.128
173322061032,51451.079,134595.647
177410939965,48984.993,137675.336
178326998560,53342.621,137484.766
186945885789,53873.578,141876.727
175291339334,53455.195,135551.021
168249296907,51411.878,132033.199
173412790717,50916.454,135734.259
184268685164,53811.308,139715.236
176429657010,54813.541,135392.737
186387670607,52577.852,140311.381
174815970034,52583.824,135222.691
175821811793,52451.499,135198.451
188844201865,51872.283,142980.833
181712080763,51037.245,138586.822
185104798012,53753.214,139667.406
177989918977,53741.328,134826.322
174879873077,55767.836,133928.239
191210879222,52788.437,141869.496
178482835215,53922.744,137311.207
183404474627,55810.115,137610.519
172439366232,60507.614,130252.897
180931351591,51932.094,136162.261
182743708402,54804.978,137505.035
188895038695,53279.18,141048.584
186321916028,54615.567,140143.974
200474750937,53170.394,147553.959
190300530864,51331.638,142526.598
175677731131,53322.096,133579.534
183457744527,57706.597,136747.756
182955497914,54138.404,138081.473
190243690957,52733.651,141295.381
184818849433,52595.196,139053.875
185764894553,53330.78,139794.443
193656465736,56621.026,141647.04
191607361026,53639.713,140969.87
187244252373,55051.809,138428.04
186641066033,55698.116,138261.901
178839274997,56270.736,134821.256
185977735140,54766.477,138094.84
194245981999,54359.539,142762.31
188034551460,54045.966,141065.418
203236185611,53520.416,147784.656
191996316234,59518.532,140969.896
197602850879,55337.708,144512.571
198880399040,56636.477,145935.147
202275399012,56563.868,145947.305
192480659009,53843.636,142115.987
197747147282,59154.589,143627.009
193756384190,53496.831,142533.508
202552689685,56075.348,146844.596
208784379672,53580.494,150456.962
204657312259,54179.531,147212.964
197567429323,54245.697,144378.03
196203879533,54106.183,143038.101
195587184226,53667.542,143158.695
199463037110,55030.702,144719.539
202307928489,51488.055,146761.962
192907136192,57041.116,141721.841
192233534991,55777.146,141514.765
194233327298,59333.39,140472.0
